,Experiencia en desarrollo de software,Genero,Ingreso en dólares,Ingreso en pesos,order Exp
15,menos de 1 año,él,7135.1,26399870.0,0
14,menos de 1 año,ella,6486.5,24000050.0,0
0,1+ año,ella,9729.7,35999890.0,1
1,1+ año,él,8648.6,31999820.0,1
4,2+ años,Ing,14864.9,55000130.0,2
5,2+ años,[redactado],91000.0,336700000.0,2
6,2+ años,ella,9081.099999999999,33600070.0,2
7,2+ años,él,11351.4,42000180.0,2
9,3 - 5 años,él,16216.2,59999940.0,3
8,3 - 5 años,ella,14400.0,53280000.0,3
10,5 - 10 años,AH-64 Apache,12973.0,48000100.0,4
11,5 - 10 años,[redactado],10810.8,39999960.0,4
12,5 - 10 años,ella,18270.3,67600110.0,4
13,5 - 10 años,él,22127.05,81870085.0,4
3,10 - 15 años,él,29189.2,108000040.0,5
2,10 - 15 años,ella,23513.5,86999950.0,5
16,más de 15 años,ella,25854.550000000003,95661835.0,6
17,más de 15 años,él,29189.2,108000040.0,6
